Room Number,Appliance Type,Issue Reported,Last Maintenance Date,Usage Hours,Days Since Maintenance,Average_Daily_Usage,Device_Year,Warranty Year
2099,Television,Leaking,2/6/2023,4879,862,6,2023,2027
2024,Mini Fridge,Low performance,5/13/2024,3243,399,8,2016,2021
2000,Lamp,Unresponsive,8/23/2023,1662,663,2,2021,2023
2008,Hair Dryer,Not working,3/6/2024,1001,468,2,2018,2020
2040,Coffee Maker,Noisy,3/31/2025,2885,78,24,2017,2020
2134,Heater,Low performance,3/12/2025,1490,96,24,2021,2024
2023,Hair Dryer,Flickering,6/3/2024,1381,378,2,2014,2016
2063,Mini Fridge,Flickering,4/15/2025,2266,63,24,2024,2029
2124,Hair Dryer,Leaking,12/14/2024,2334,185,12,2023,2025
2018,Air Conditioner,Overheating,8/4/2023,2524,682,4,2020,2025
2065,Coffee Maker,Flickering,5/7/2023,1186,771,1,2018,2021
2135,Coffee Maker,Overheating,1/28/2024,1427,505,3,2023,2026
2126,Heater,Unresponsive,2/14/2023,4205,854,4,2021,2024
2129,Air Conditioner,Flickering,10/26/2023,1433,599,3,2023,2028
2066,Coffee Maker,Not working,10/10/2024,4135,249,17,2022,2025
2022,Coffee Maker,Flickering,12/6/2023,3464,559,6,2017,2020
2143,Heater,Low performance,9/17/2024,1055,273,4,2015,2018
2141,Coffee Maker,Low performance,1/2/2023,3958,897,5,2017,2020
2010,Mini Fridge,Noisy,11/15/2024,2763,214,12,2022,2026
2106,Hair Dryer,Overheating,11/4/2023,851,590,1,2020,2022
2108,Hair Dryer,Low performance,10/30/2023,2236,596,4,2014,2016
2135,Coffee Maker,Not working,9/30/2023,1437,625,2,2015,2018
2022,Television,Overheating,6/14/2025,3792,3,24,2016,2020
2068,Hair Dryer,Flickering,4/6/2025,520,71,10,2021,2023
2009,Coffee Maker,Noisy,12/16/2023,2882,549,5,2014,2017
2139,Heater,Noisy,4/25/2024,4268,418,10,2015,2018
2106,Lamp,Low performance,12/6/2023,875,558,1,2017,2019
2064,Mini Fridge,Unresponsive,1/18/2024,645,516,1,2020,2022
2027,Television,Leaking,11/12/2024,4597,217,21,2019,2023
2035,Air Conditioner,Leaking,1/15/2024,2880,518,6,2019,2024
2114,Heater,Overheating,9/8/2023,2937,648,5,2014,2017
2067,Hair Dryer,Leaking,3/30/2024,2761,443,6,2024,2026
2085,Lamp,Flickering,4/5/2025,2577,73,24,2016,2018
2130,Lamp,Overheating,10/28/2023,3829,598,7,2020,2022
2000,Air Conditioner,Flickering,2/5/2023,1108,862,2,2014,2019
2074,Television,Unresponsive,5/3/2025,2972,45,24,2020,2024
2026,Mini Fridge,Low performance,2/7/2025,3704,129,24,2024,2026
2004,Coffee Maker,Unresponsive,10/30/2023,2152,596,4,2024,2027
2038,Coffee Maker,Flickering,3/7/2024,4468,466,9,2018,2021
2019,Air Conditioner,Not working,6/10/2024,4735,372,13,2015,2020
2024,Mini Fridge,Unresponsive,1/31/2025,1239,137,8,2022,2026
2105,Hair Dryer,Not working,8/21/2023,629,666,1,2021,2023
2043,Mini Fridge,Flickering,12/28/2024,2812,171,17,2019,2023
2083,Television,Overheating,11/3/2024,4574,226,21,2019,2023
2116,Lamp,Unresponsive,5/4/2024,562,408,1,2019,2021
2139,Air Conditioner,Overheating,1/8/2025,2504,160,18,2022,2027
2074,Heater,Flickering,12/2/2023,3460,563,6,2020,2023
2026,Mini Fridge,Not working,5/15/2024,3500,398,9,2018,2020
2017,Hair Dryer,Flickering,5/24/2024,2045,388,4,2016,2018
2037,Heater,Low performance,4/12/2023,856,797,1,2024,2027
2074,Hair Dryer,Unresponsive,8/2/2023,3648,684,5,2018,2020
2062,Coffee Maker,Overheating,3/16/2023,1757,824,3,2022,2025
2081,Coffee Maker,Noisy,1/2/2023,2190,897,3,2015,2018
2049,Lamp,Low performance,2/11/2023,3429,857,4,2021,2023
2047,Hair Dryer,Not working,12/13/2024,1673,186,8,2020,2022
2013,Television,Overheating,2/6/2025,3554,130,24,2020,2024
2134,Lamp,Overheating,2/6/2024,957,497,1,2015,2017
2085,Air Conditioner,Flickering,4/29/2023,1306,780,2,2018,2023
2101,Television,Low performance,9/16/2024,2668,274,10,2023,2027
2090,Television,Overheating,7/16/2023,3603,702,4,2020,2024
2080,Coffee Maker,Leaking,1/29/2023,4646,869,5,2023,2026
2110,Lamp,Low performance,2/9/2025,3607,127,24,2015,2017
2090,Television,Low performance,1/11/2024,2606,522,5,2022,2026
2055,Coffee Maker,Flickering,1/3/2025,4944,165,24,2020,2023
2099,Television,Overheating,11/4/2024,2752,224,12,2022,2026
2135,Coffee Maker,Unresponsive,8/30/2023,1443,656,2,2016,2019
2027,Mini Fridge,Overheating,4/24/2025,3906,54,24,2018,2022
2141,Hair Dryer,Overheating,1/30/2025,2817,138,21,2022,2024
2038,Air Conditioner,Low performance,11/11/2024,3681,218,17,2015,2020
2080,Air Conditioner,Overheating,9/9/2023,1304,646,2,2017,2022
2060,Lamp,Not working,10/14/2023,2861,611,5,2023,2025
2042,Heater,Not working,4/24/2024,3302,418,8,2024,2027
2103,Lamp,Low performance,3/19/2023,2713,820,3,2020,2022
2101,Heater,Noisy,5/17/2023,4974,761,7,2020,2023
2126,Television,Leaking,5/19/2023,4295,760,6,2021,2025
2120,Hair Dryer,Overheating,7/7/2023,4406,711,6,2020,2022
2036,Mini Fridge,Low performance,8/14/2024,1096,307,3,2017,2020
2122,Heater,Unresponsive,3/23/2023,1428,816,1,2014,2017
2081,Lamp,Not working,11/9/2024,4883,219,24,2020,2022
2036,Television,Flickering,12/6/2023,2205,558,5,2015,2019
2021,Mini Fridge,Flickering,4/12/2025,2726,66,24,2019,2021
2023,Mini Fridge,Not working,3/31/2025,4881,77,24,2014,2019
2098,Lamp,Flickering,5/2/2023,2392,776,4,2014,2016
2082,Hair Dryer,Leaking,2/11/2023,4611,856,6,2014,2016
2037,Heater,Overheating,5/2/2024,2769,410,7,2016,2019
2094,Coffee Maker,Low performance,6/17/2024,1880,365,6,2021,2024
2031,Air Conditioner,Not working,3/26/2024,2819,447,6,2019,2024
2060,Television,Not working,12/28/2024,4354,171,24,2021,2025
2026,Lamp,Not working,4/15/2023,3815,794,4,2020,2022
2150,Heater,Flickering,1/4/2025,3542,163,20,2018,2021
2048,Mini Fridge,Noisy,11/6/2024,4433,223,22,2015,2017
2118,Coffee Maker,Flickering,5/3/2025,3500,44,24,2016,2019
2071,Heater,Leaking,5/22/2023,2924,757,4,2023,2026
2043,Mini Fridge,Not working,4/15/2025,3561,62,24,2023,2027
2002,Hair Dryer,Noisy,5/16/2023,3594,762,4,2014,2016
2041,Coffee Maker,Flickering,12/21/2023,2720,544,5,2018,2021
2071,Heater,Low performance,3/6/2024,4922,467,11,2017,2020
2057,Heater,Noisy,6/2/2023,1244,745,1,2015,2018
2148,Heater,Low performance,5/13/2023,4248,766,5,2022,2025
2037,Lamp,Low performance,3/13/2025,2744,95,24,2018,2020
2052,Hair Dryer,Flickering,1/31/2025,4149,137,24,2015,2017
2070,Heater,Low performance,3/20/2024,632,453,2,2018,2021
2117,Television,Overheating,6/14/2025,3081,2,24,2023,2027
2076,Hair Dryer,Unresponsive,8/24/2024,2773,297,9,2020,2022
2065,Mini Fridge,Flickering,10/18/2023,594,607,1,2015,2019
2013,Lamp,Unresponsive,1/13/2023,1424,885,2,2015,2017
2059,Lamp,Low performance,2/4/2024,3066,499,6,2017,2019
2061,Coffee Maker,Overheating,2/26/2025,1263,110,11,2016,2019
2087,Television,Noisy,2/18/2024,4660,485,11,2015,2019
2132,Heater,Noisy,10/26/2024,4018,233,18,2019,2022
2012,Hair Dryer,Noisy,11/16/2024,4870,212,20,2020,2022
2018,Air Conditioner,Leaking,5/23/2023,1686,756,2,2022,2027
2007,Hair Dryer,Overheating,5/18/2025,1080,29,24,2015,2017
2048,Coffee Maker,Unresponsive,10/15/2023,2340,610,3,2016,2019
2074,Hair Dryer,Flickering,8/10/2024,1012,311,3,2023,2025
2062,Lamp,Leaking,5/19/2025,2777,29,24,2020,2022
2112,Heater,Flickering,3/27/2023,2619,812,4,2015,2018
2133,Heater,Not working,5/28/2025,1298,20,24,2018,2021
2053,Hair Dryer,Leaking,5/11/2024,3430,402,8,2016,2018
2092,Heater,Low performance,8/3/2023,4279,684,6,2014,2017
2020,Television,Not working,3/29/2024,3300,445,7,2021,2025
2024,Mini Fridge,Flickering,4/27/2024,3837,416,9,2021,2025
2062,Heater,Noisy,11/2/2023,2639,593,5,2019,2022
2033,Hair Dryer,Not working,9/26/2024,1442,263,6,2019,2021
2070,Heater,Unresponsive,5/23/2023,4547,755,6,2015,2018
2081,Television,Unresponsive,6/13/2025,2627,4,24,2017,2021
2076,Hair Dryer,Overheating,12/30/2024,1571,169,10,2019,2021
2118,Mini Fridge,Low performance,2/15/2025,4047,121,24,2015,2020
2110,Heater,Unresponsive,9/15/2023,564,641,1,2024,2027
2104,Air Conditioner,Leaking,4/6/2023,2857,802,2,2019,2024
2001,Lamp,Overheating,3/19/2025,2809,89,24,2016,2018
2002,Coffee Maker,Not working,4/9/2024,4955,434,12,2021,2024
2074,Coffee Maker,Low performance,5/28/2025,3197,19,24,2019,2022
2150,Air Conditioner,Overheating,6/30/2023,4344,717,6,2015,2020
2026,Air Conditioner,Low performance,4/24/2024,2786,419,6,2014,2019
2062,Hair Dryer,Low performance,11/20/2024,1961,209,9,2015,2017
2044,Television,Not working,6/13/2025,4713,4,24,2021,2025
2132,Mini Fridge,Overheating,4/4/2024,3907,439,9,2020,2022
2115,Coffee Maker,Unresponsive,10/25/2024,2754,235,12,2024,2027
2017,Television,Unresponsive,7/31/2023,1273,687,2,2016,2020
2038,Television,Unresponsive,3/6/2025,2925,102,24,2024,2028
2124,Television,Flickering,3/21/2023,4266,818,5,2016,2020
2004,Lamp,Not working,6/15/2025,2066,1,24,2016,2018
2112,Lamp,Flickering,2/4/2023,2754,864,3,2015,2017
2126,Lamp,Noisy,8/27/2023,4582,659,7,2017,2019
2045,Lamp,Not working,6/20/2024,2406,361,7,2018,2020
2078,Heater,Flickering,12/31/2023,3630,534,7,2014,2017
2031,Heater,Low performance,2/11/2025,2109,126,17,2014,2017
2123,Television,Low performance,3/9/2025,4004,99,24,2017,2021
2142,Air Conditioner,Overheating,7/6/2023,1285,711,2,2016,2021
2027,Mini Fridge,Unresponsive,5/23/2023,2018,755,4,2015,2020
2096,Lamp,Flickering,5/29/2023,3785,750,5,2014,2016
2131,Television,Noisy,4/4/2023,1104,805,1,2024,2028
2138,Lamp,Unresponsive,4/12/2023,2867,796,3,2020,2022
2114,Lamp,Noisy,4/12/2025,2286,65,24,2024,2026
2150,Air Conditioner,Flickering,12/2/2024,2830,197,15,2022,2027
2082,Hair Dryer,Overheating,10/13/2024,1739,246,7,2018,2020
2100,Television,Leaking,3/30/2023,808,809,1,2018,2022
2102,Lamp,Noisy,10/9/2024,1999,250,9,2015,2017
2034,Television,Noisy,4/8/2024,4764,434,10,2017,2021
2019,Heater,Flickering,2/5/2025,2239,132,17,2021,2024
2001,Lamp,Not working,6/10/2025,3432,6,24,2016,2018
2129,Hair Dryer,Overheating,4/11/2023,4655,798,5,2015,2017
2058,Lamp,Unresponsive,6/9/2025,1206,7,24,2023,2025
2135,Coffee Maker,Flickering,7/21/2024,2501,331,7,2024,2027
2013,Hair Dryer,Not working,4/9/2025,2242,68,24,2023,2025
2112,Coffee Maker,Overheating,2/15/2024,1942,487,5,2016,2019
2144,Mini Fridge,Unresponsive,3/22/2025,2906,86,24,2021,2023
2057,Hair Dryer,Overheating,3/17/2025,4537,92,24,2018,2020
2149,Hair Dryer,Flickering,2/5/2023,767,863,2,2019,2021
2128,Television,Unresponsive,10/27/2023,1705,598,3,2014,2018
2114,Air Conditioner,Noisy,1/14/2023,4624,885,5,2020,2025
2111,Coffee Maker,Low performance,1/14/2023,3427,885,4,2015,2018
2122,Coffee Maker,Flickering,3/21/2025,1674,88,24,2021,2024
2119,Television,Noisy,5/1/2023,1090,778,2,2023,2027
2081,Mini Fridge,Flickering,2/22/2023,4301,845,5,2022,2024
2116,Coffee Maker,Not working,1/14/2023,5222,884,5,2021,2024
2068,Mini Fridge,Leaking,1/5/2024,4811,528,9,2021,2024
2108,Lamp,Not working,7/20/2024,2262,332,6,2016,2018
2001,Lamp,Leaking,5/12/2024,2493,400,7,2022,2024
2032,Coffee Maker,Not working,9/19/2023,3119,637,5,2021,2024
