Room Number,Appliance Type,Status,Last Maintenance Date,Usage Hours,Days Since Maintenance,Average_Daily_Usage,Device_Year,Warranty Year
2000,Heater,Working,2024-08-29,1276,292,4,2021,2027
2000,Lamp,Working,2023-02-24,2503,844,3,2022,2021
2000,Mini Fridge,Noisy,2024-09-19,4648,270,18,2019,2023
2000,Air Conditioner,Low performance,2024-04-30,1753,412,4,2016,2020
2000,Television,Working,2023-12-24,2404,540,5,2019,2020
2000,Hair Dryer,Working,2024-05-06,4649,407,11,2023,2024
2000,Coffee Maker,Noisy,2024-06-27,4450,354,14,2021,2016
2001,Coffee Maker,Working,2023-09-14,2267,642,4,2024,2029
2001,Mini Fridge,Working,2024-11-14,3561,214,16,2019,2025
2001,Television,Low performance,2024-08-05,1765,316,6,2015,2025
2001,Lamp,Overheating,2024-03-11,4714,463,10,2016,2021
2001,Heater,Working,2024-07-20,813,332,3,2018,2026
2001,Air Conditioner,Working,2024-03-05,3235,469,7,2014,2024
2001,Hair Dryer,Overheating,2024-08-17,2114,303,7,2018,2028
2002,Coffee Maker,Flickering,2024-05-01,3455,412,8,2023,2025
2002,Air Conditioner,Working,2024-10-28,951,231,3,2016,2020
2002,Television,Working,2025-04-16,2144,61,24,2024,2018
2002,Heater,Not Working,2025-04-06,2854,72,24,2022,2020
2002,Lamp,Working,2024-05-18,14304,395,24,2022,2026
2002,Mini Fridge,Working,2024-04-13,2574,429,6,2019,2022
2002,Hair Dryer,Working,2024-07-21,4844,331,14,2022,2016
2003,Lamp,Leaking,2023-08-16,786,670,1,2019,2018
2003,Heater,Low performance,2023-02-03,4024,865,5,2022,2020
2003,Hair Dryer,Working,2024-03-26,807,447,2,2016,2023
2003,Television,Working,2023-07-22,1936,695,2,2022,2017
2003,Mini Fridge,Working,2025-06-10,3432,6,24,2016,2018
2003,Air Conditioner,Working,2025-04-05,4030,73,24,2023,2019
2003,Coffee Maker,Not Working,2023-09-30,1437,625,2,2015,2022
2004,Hair Dryer,Working,2023-03-12,3315,827,4,2016,2023
2004,Heater,Working,2024-03-25,2254,448,5,2024,2024
2004,Television,Flickering,2025-04-15,3896,63,24,2015,2017
2004,Mini Fridge,Working,2025-04-03,622,75,7,2017,2026
2004,Air Conditioner,Working,2023-09-11,1424,644,2,2017,2018
2004,Lamp,Noisy,2024-10-13,3650,247,15,2022,2022
2004,Coffee Maker,Working,2025-02-14,2915,123,20,2017,2019
2005,Hair Dryer,Low performance,2025-04-22,4186,56,24,2021,2024
2005,Air Conditioner,Working,2024-07-09,2642,343,7,2021,2026
2005,Coffee Maker,Working,2024-09-30,646,259,2,2022,2027
2005,Lamp,Not Working,2024-01-05,2327,529,4,2020,2021
2005,Television,Working,2023-09-25,4374,630,7,2014,2020
2005,Heater,Flickering,2024-12-05,4844,193,24,2016,2026
2005,Mini Fridge,Working,2024-11-04,928,224,5,2015,2023
2006,Air Conditioner,Working,2025-02-21,2161,116,17,2021,2023
2006,Television,Flickering,2023-12-24,1015,540,2,2024,2023
2006,Heater,Working,2023-06-14,688,734,2,2018,2021
2006,Mini Fridge,Working,2023-10-11,2947,615,4,2022,2027
2006,Lamp,Working,2023-10-04,1368,621,3,2021,2023
2006,Coffee Maker,Working,2023-09-28,4613,627,7,2021,2020
2006,Hair Dryer,Flickering,2025-03-25,908,84,12,2014,2018
2007,Air Conditioner,Flickering,2023-04-15,1152,794,1,2020,2027
2007,Hair Dryer,Working,2023-06-23,734,724,1,2016,2020
2007,Lamp,Working,2024-06-08,2826,373,7,2016,2025
2007,Television,Flickering,2023-10-11,1170,615,2,2015,2018
2007,Heater,Working,2023-04-01,2789,808,3,2019,2023
2007,Coffee Maker,Unresponsive,2023-11-21,4076,573,8,2018,2022
2007,Mini Fridge,Working,2024-02-02,3638,501,7,2023,2024
2008,Air Conditioner,Working,2023-10-10,4745,616,8,2019,2017
2008,Television,Overheating,2025-02-06,3554,130,24,2020,2023
2008,Mini Fridge,Working,2024-12-24,3736,175,22,2022,2027
2008,Hair Dryer,Working,2024-02-03,1273,499,3,2024,2024
2008,Heater,Working,2024-05-04,2620,408,7,2023,2026
2008,Lamp,Low performance,2024-07-02,2159,349,6,2021,2017
2008,Coffee Maker,Working,2023-05-01,5028,778,7,2016,2026
2009,Hair Dryer,Working,2024-04-23,2523,419,6,2016,2023
2009,Heater,Not Working,2025-01-15,4398,152,24,2024,2026
2009,Lamp,Working,2024-04-08,1970,435,5,2019,2019
2009,Coffee Maker,Working,2023-01-26,797,872,1,2020,2022
2009,Mini Fridge,Unresponsive,2023-10-24,2962,602,5,2023,2024
2009,Air Conditioner,Low performance,2024-09-10,2826,280,9,2017,2020
2009,Television,Not Working,2023-10-30,812,595,2,2018,2022
2010,Television,Working,2023-09-06,975,650,2,2016,2025
2010,Air Conditioner,Working,2024-08-12,996,309,3,2017,2027
2010,Hair Dryer,Working,2024-02-27,1097,475,3,2018,2022
2010,Heater,Working,2023-03-23,2306,816,2,2019,2023
2010,Coffee Maker,Working,2023-03-27,1591,812,2,2024,2025
2010,Mini Fridge,Overheating,2024-07-23,2121,329,6,2016,2022
2010,Lamp,Unresponsive,2024-02-17,1001,486,2,2015,2020
2011,Heater,Working,2024-12-21,3735,178,21,2016,2017
2011,Television,Flickering,2024-11-30,3618,199,17,2015,2022
2011,Air Conditioner,Working,2024-06-22,1946,360,5,2017,2019
2011,Coffee Maker,Working,2023-02-19,1654,849,2,2018,2021
2011,Hair Dryer,Leaking,2023-12-01,4622,564,8,2018,2019
2011,Lamp,Working,2024-09-26,3942,263,17,2020,2016
2011,Mini Fridge,Working,2025-06-07,2117,9,23,2023,2016
2012,Lamp,Leaking,2023-04-17,2106,792,2,2022,2019
2012,Mini Fridge,Working,2023-09-06,1057,650,2,2016,2024
2012,Hair Dryer,Working,2025-06-01,1793,16,24,2017,2024
2012,Coffee Maker,Unresponsive,2025-03-09,2610,99,24,2021,2025
2012,Air Conditioner,Working,2024-01-06,3164,528,6,2018,2022
2012,Television,Low performance,2025-03-23,2523,86,24,2017,2021
2012,Heater,Working,2024-02-12,1923,491,5,2018,2017
2013,Lamp,Working,2023-02-06,4879,862,6,2023,2019
2013,Air Conditioner,Flickering,2025-05-28,4616,19,24,2020,2026
2013,Heater,Working,2024-03-22,476,451,1,2017,2027
2013,Hair Dryer,Working,2024-03-08,2747,466,6,2019,2016
2013,Mini Fridge,Low performance,2024-02-26,2947,476,6,2019,2021
2013,Coffee Maker,Working,2024-09-14,2613,276,9,2017,2020
