Room Number,Appliance Type,Status,Last Maintenance Date,Usage Hours,Days Since Maintenance,Average_Daily_Usage,Device_Year,Warranty Year
2000,Heater,Working,2/6/2023,4879,862,6,2023,2027
2000,Lamp,Working,5/13/2024,3243,399,8,2016,2021
2000,Mini Fridge,Unresponsive,8/23/2023,1662,663,2,2021,2023
2000,Air Conditioner,Not Working,3/6/2024,1001,468,2,2018,2020
2000,Television,Working,3/31/2025,2885,78,24,2017,2020
2000,Hair Dryer,Working,3/12/2025,1490,96,24,2021,2024
2000,Coffee Maker,Flickering,6/3/2024,1381,378,2,2014,2016
2001,Coffee Maker,Working,4/15/2025,2266,63,24,2024,2029
2001,Mini Fridge,Working,12/14/2024,2334,185,12,2023,2025
2001,Television,Working,8/4/2023,2524,682,4,2020,2025
2001,Lamp,Flickering,5/7/2023,1186,771,1,2018,2021
2001,Heater,Working,1/28/2024,1427,505,3,2023,2026
2001,Air Conditioner,Working,2/14/2023,4205,854,4,2021,2024
2001,Hair Dryer,Flickering,10/26/2023,1433,599,3,2023,2028
2002,Coffee Maker,Working,10/10/2024,4135,249,17,2022,2025
2002,Air Conditioner,Working,12/6/2023,3464,559,6,2017,2020
2002,Television,Low performance,9/17/2024,1055,273,4,2015,2018
2002,Heater,Working,1/2/2023,3958,897,5,2017,2020
2002,Lamp,Working,11/15/2024,2763,214,12,2022,2026
2002,Mini Fridge,Working,11/4/2023,851,590,1,2020,2022
2002,Hair Dryer,Low performance,10/30/2023,2236,596,4,2014,2016
2003,Lamp,Working,9/30/2023,1437,625,2,2015,2018
2003,Heater,Working,6/14/2025,3792,3,24,2016,2020
2003,Hair Dryer,Flickering,4/6/2025,520,71,10,2021,2023
2003,Television,Noisy,12/16/2023,2882,549,5,2014,2017
2003,Mini Fridge,Noisy,4/25/2024,4268,418,10,2015,2018
2003,Air Conditioner,Working,12/6/2023,875,558,1,2017,2019
2003,Coffee Maker,Working,1/18/2024,645,516,1,2020,2022
2004,Hair Dryer,Working,11/12/2024,4597,217,21,2019,2023
2004,Heater,Leaking,1/15/2024,2880,518,6,2019,2024
2004,Television,Working,9/8/2023,2937,648,5,2014,2017
2004,Mini Fridge,Leaking,3/30/2024,2761,443,6,2024,2026
2004,Air Conditioner,Working,4/5/2025,2577,73,24,2016,2018
2004,Lamp,Overheating,10/28/2023,3829,598,7,2020,2022
2004,Coffee Maker,Working,2/5/2023,1108,862,2,2014,2019
2005,Hair Dryer,Working,5/3/2025,2972,45,24,2020,2024
2005,Air Conditioner,Low performance,2/7/2025,3704,129,24,2024,2026
2005,Coffee Maker,Working,10/30/2023,2152,596,4,2024,2027
2005,Lamp,Flickering,3/7/2024,4468,466,9,2018,2021
2005,Television,Working,6/10/2024,4735,372,13,2015,2020
2005,Heater,Working,1/31/2025,1239,137,8,2022,2026
2005,Mini Fridge,Not Working,8/21/2023,629,666,1,2021,2023
2006,Air Conditioner,Working,12/28/2024,2812,171,17,2019,2023
2006,Television,Overheating,11/3/2024,4574,226,21,2019,2023
2006,Heater,Unresponsive,5/4/2024,562,408,1,2019,2021
2006,Mini Fridge,Working,1/8/2025,2504,160,18,2022,2027
2006,Lamp,Working,12/2/2023,3460,563,6,2020,2023
2006,Coffee Maker,Not Working,5/15/2024,3500,398,9,2018,2020
2006,Hair Dryer,Flickering,5/24/2024,2045,388,4,2016,2018
2007,Air Conditioner,Working,4/12/2023,856,797,1,2024,2027
2007,Hair Dryer,Unresponsive,8/2/2023,3648,684,5,2018,2020
2007,Lamp,Overheating,3/16/2023,1757,824,3,2022,2025
2007,Television,Working,1/2/2023,2190,897,3,2015,2018
2007,Heater,Working,2/11/2023,3429,857,4,2021,2023
2007,Coffee Maker,Not Working,12/13/2024,1673,186,8,2020,2022
2007,Mini Fridge,Working,2/6/2025,3554,130,24,2020,2024
2008,Air Conditioner,Overheating,2/6/2024,957,497,1,2015,2017
2008,Television,Working,4/29/2023,1306,780,2,2018,2023
2008,Mini Fridge,Low performance,9/16/2024,2668,274,10,2023,2027
2008,Hair Dryer,Working,7/16/2023,3603,702,4,2020,2024
2008,Heater,Leaking,1/29/2023,4646,869,5,2023,2026
2008,Lamp,Working,2/9/2025,3607,127,24,2015,2017
2008,Coffee Maker,Working,1/11/2024,2606,522,5,2022,2026
2009,Hair Dryer,Flickering,1/3/2025,4944,165,24,2020,2023
2009,Heater,Overheating,11/4/2024,2752,224,12,2022,2026
2009,Lamp,Working,8/30/2023,1443,656,2,2016,2019
2009,Coffee Maker,Working,4/24/2025,3906,54,24,2018,2022
2009,Mini Fridge,Overheating,1/30/2025,2817,138,21,2022,2024
2009,Air Conditioner,Working,11/11/2024,3681,218,17,2015,2020
2009,Television,Overheating,9/9/2023,1304,646,2,2017,2022
2010,Television,Working,10/14/2023,2861,611,5,2023,2025
2010,Air Conditioner,Not Working,4/24/2024,3302,418,8,2024,2027
2010,Hair Dryer,Working,3/19/2023,2713,820,3,2020,2022
2010,Heater,Working,5/17/2023,4974,761,7,2020,2023
2010,Coffee Maker,Working,5/19/2023,4295,760,6,2021,2025
2010,Mini Fridge,Overheating,7/7/2023,4406,711,6,2020,2022
2010,Lamp,Low performance,8/14/2024,1096,307,3,2017,2020
2011,Heater,Working,3/23/2023,1428,816,1,2014,2017
2011,Television,Not Working,11/9/2024,4883,219,24,2020,2022
2011,Air Conditioner,Working,12/6/2023,2205,558,5,2015,2019
2011,Coffee Maker,Working,4/12/2025,2726,66,24,2019,2021
2011,Hair Dryer,Not Working,3/31/2025,4881,77,24,2014,2019
2011,Lamp,Flickering,5/2/2023,2392,776,4,2014,2016
2011,Mini Fridge,Working,2/11/2023,4611,856,6,2014,2016
2012,Lamp,Working,5/2/2024,2769,410,7,2016,2019
2012,Mini Fridge,Working,6/17/2024,1880,365,6,2021,2024
2012,Hair Dryer,Not Working,3/26/2024,2819,447,6,2019,2024
2012,Coffee Maker,Working,12/28/2024,4354,171,24,2021,2025
2012,Air Conditioner,Working,4/15/2023,3815,794,4,2020,2022
2012,Television,Flickering,1/4/2025,3542,163,20,2018,2021
2012,Heater,Working,11/6/2024,4433,223,22,2015,2017
2013,Lamp,Working,5/3/2025,3500,44,24,2016,2019
2013,Air Conditioner,Leaking,5/22/2023,2924,757,4,2023,2026
2013,Heater,Working,4/15/2025,3561,62,24,2023,2027
2013,Hair Dryer,Noisy,5/16/2023,3594,762,4,2014,2016
2013,Mini Fridge,Working,12/21/2023,2720,544,5,2018,2021
2013,Coffee Maker,Working,3/6/2024,4922,467,11,2017,2020
2013,Television,Noisy,6/2/2023,1244,745,1,2015,2018
2014,Coffee Maker,Working,5/13/2023,4248,766,5,2022,2025
2014,Air Conditioner,Low performance,3/13/2025,2744,95,24,2018,2020
2014,Lamp,Working,1/31/2025,4149,137,24,2015,2017
2014,Hair Dryer,Low performance,3/20/2024,632,453,2,2018,2021
2014,Television,Working,6/14/2025,3081,2,24,2023,2027
2014,Mini Fridge,Working,8/24/2024,2773,297,9,2020,2022
2014,Heater,Flickering,10/18/2023,594,607,1,2015,2019
2015,Heater,Unresponsive,1/13/2023,1424,885,2,2015,2017
2015,Mini Fridge,Working,2/4/2024,3066,499,6,2017,2019
2015,Hair Dryer,Working,2/26/2025,1263,110,11,2016,2019
2015,Lamp,Noisy,2/18/2024,4660,485,11,2015,2019
2015,Air Conditioner,Working,10/26/2024,4018,233,18,2019,2022
2015,Coffee Maker,Noisy,11/16/2024,4870,212,20,2020,2022
2015,Television,Working,5/23/2023,1686,756,2,2022,2027
2016,Lamp,Working,5/18/2025,1080,29,24,2015,2017
2016,Television,Working,10/15/2023,2340,610,3,2016,2019
2016,Hair Dryer,Flickering,8/10/2024,1012,311,3,2023,2025
2016,Air Conditioner,Working,5/19/2025,2777,29,24,2020,2022
2016,Mini Fridge,Working,3/27/2023,2619,812,4,2015,2018
2016,Coffee Maker,Not Working,5/28/2025,1298,20,24,2018,2021
2016,Heater,Working,5/11/2024,3430,402,8,2016,2018
2017,Heater,Low performance,8/3/2023,4279,684,6,2014,2017
2017,Television,Not Working,3/29/2024,3300,445,7,2021,2025
2017,Lamp,Working,4/27/2024,3837,416,9,2021,2025
2017,Hair Dryer,Working,11/2/2023,2639,593,5,2019,2022
2017,Air Conditioner,Not Working,9/26/2024,1442,263,6,2019,2021
2017,Coffee Maker,Unresponsive,5/23/2023,4547,755,6,2015,2018
2017,Mini Fridge,Working,6/13/2025,2627,4,24,2017,2021
2018,Mini Fridge,Working,12/30/2024,1571,169,10,2019,2021
2018,Air Conditioner,Low performance,2/15/2025,4047,121,24,2015,2020
2018,Heater,Working,9/15/2023,564,641,1,2024,2027
2018,Lamp,Working,4/6/2023,2857,802,2,2019,2024
2018,Hair Dryer,Overheating,3/19/2025,2809,89,24,2016,2018
2018,Coffee Maker,Working,4/9/2024,4955,434,12,2021,2024
2018,Television,Working,5/28/2025,3197,19,24,2019,2022
2019,Lamp,Working,6/30/2023,4344,717,6,2015,2020
2019,Coffee Maker,Low performance,4/24/2024,2786,419,6,2014,2019
2019,Heater,Working,11/20/2024,1961,209,9,2015,2017
2019,Television,Working,6/13/2025,4713,4,24,2021,2025
2019,Mini Fridge,Overheating,4/4/2024,3907,439,9,2020,2022
2019,Air Conditioner,Working,10/25/2024,2754,235,12,2024,2027
2019,Hair Dryer,Unresponsive,7/31/2023,1273,687,2,2016,2020
2020,Coffee Maker,Working,3/6/2025,2925,102,24,2024,2028
2020,Hair Dryer,Working,3/21/2023,4266,818,5,2016,2020
2020,Mini Fridge,Working,6/15/2025,2066,1,24,2016,2018
2020,Television,Flickering,2/4/2023,2754,864,3,2015,2017
2020,Heater,Working,8/27/2023,4582,659,7,2017,2019
2020,Air Conditioner,Not Working,6/20/2024,2406,361,7,2018,2020
2020,Lamp,Working,12/31/2023,3630,534,7,2014,2017
2021,Mini Fridge,Low performance,2/11/2025,2109,126,17,2014,2017
2021,Coffee Maker,Working,3/9/2025,4004,99,24,2017,2021
2021,Heater,Working,7/6/2023,1285,711,2,2016,2021
2021,Hair Dryer,Unresponsive,5/23/2023,2018,755,4,2015,2020
2021,Television,Working,5/29/2023,3785,750,5,2014,2016
2021,Lamp,Noisy,4/4/2023,1104,805,1,2024,2028
2021,Air Conditioner,Working,4/12/2023,2867,796,3,2020,2022
2022,Coffee Maker,Working,4/12/2025,2286,65,24,2024,2026
2022,Air Conditioner,Flickering,12/2/2024,2830,197,15,2022,2027
2022,Lamp,Working,10/13/2024,1739,246,7,2018,2020
2022,Mini Fridge,Working,3/30/2023,808,809,1,2018,2022
2022,Television,Working,10/9/2024,1999,250,9,2015,2017
2022,Heater,Noisy,4/8/2024,4764,434,10,2017,2021
2022,Hair Dryer,Flickering,2/5/2025,2239,132,17,2021,2024
2023,Coffee Maker,Not Working,6/10/2025,3432,6,24,2016,2018
2023,Television,Working,4/11/2023,4655,798,5,2015,2017
2023,Air Conditioner,Unresponsive,6/9/2025,1206,7,24,2023,2025
2023,Lamp,Working,7/21/2024,2501,331,7,2024,2027
2023,Heater,Working,4/9/2025,2242,68,24,2023,2025
2023,Hair Dryer,Overheating,2/15/2024,1942,487,5,2016,2019
2023,Mini Fridge,Unresponsive,3/22/2025,2906,86,24,2021,2023
2024,Heater,Working,3/17/2025,4537,92,24,2018,2020
2024,Television,Working,2/5/2023,767,863,2,2019,2021
2024,Air Conditioner,Unresponsive,10/27/2023,1705,598,3,2014,2018
2024,Hair Dryer,Working,1/14/2023,4624,885,5,2020,2025
2024,Mini Fridge,Working,1/14/2023,3427,885,4,2015,2018
2024,Lamp,Flickering,3/21/2025,1674,88,24,2021,2024
2024,Coffee Maker,Noisy,5/1/2023,1090,778,2,2023,2027
2025,Mini Fridge,Working,2/22/2023,4301,845,5,2022,2024
2025,Lamp,Working,1/14/2023,5222,884,5,2021,2024
2025,Coffee Maker,Leaking,1/5/2024,4811,528,9,2021,2024
